% Model,gmshNewMeshX10Dif.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 12 2024, 20:25"
% Dimension,3
% Nodes,1730
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
0,0.008283,0.001059,0
0,0.008818,0,0
8.43E-4,0.004605,0.001633,0
0,0.004122,0.00199,0
0,0.004921,0.001847,0
0,0.005641,0.002512,0
0,0.004634,0.002645,0
0.002526,0.00163,0.002276,0
0.003073,9.54E-4,0.002283,0
0,0.003788,0.002641,0
0,0.003243,0.003206,0
9.0E-4,0.00386,0.002312,0
0,0.004184,0.003386,0
0.001331,0.002381,0.002371,0
0.001057,0.002949,0.002575,0
0.00235,0.002425,0.00139,0
0.002104,0.003245,0.001064,0
0.002962,0.002634,0.001127,0
0.002842,0.003335,7.31E-4,0
0.002882,0.003915,0,0
0.003243,0.003206,0,0
0.003655,0.003927,0,0
9.4E-4,0.002794,0.003563,0
0,0.003655,0.003927,0
0,0.003411,0.004653,0
0.002641,0,0.003788,0
0,0.001983,0.005348,0
0.001977,0.001038,0.004332,0
0.00199,0,0.004122,0
0.002645,0,0.004634,0
0.001847,0,0.004921,0
0.00147,0,0.005719,0
0,0.001367,0.005863,0
9.59E-4,9.29E-4,0.005809,0
0,0.00226,0.006217,0
8.81E-4,0,0.007234,0
0,8.02E-4,0.007172,0
0,0,0.007674,0
0.001528,0,0.006706,0
0,0.001548,0.006691,0
0.001453,0.001646,0.005023,0
0.001184,0.002834,0.00478,0
0,0.002908,0.005544,0
0,0.004008,0.005625,0
0.002512,0,0.005641,0
0,9.68E-4,0.008262,0
0.001059,0,0.008283,0
0,0,0.008818,0
0.003716,0.001106,0.003272,0
0.003927,0,0.003655,0
0.003386,0,0.004184,0
0.002556,0.001365,0.003234,0
0.004653,0,0.003411,0
0.002589,0.004406,0.00124,0
0.003866,0.003507,0.001213,0
0.004557,0.004477,0,0
0.005303,0.003481,0,0
0.003411,0.004653,0,0
0.005412,0.00145,0.001513,0
0.006706,0.001528,0,0
0.006562,0.002402,0,0
0.006217,0,0.00226,0
0.005641,0.002512,0,0
0.006691,0,0.001548,0
0.007225,0.001413,0.00142,0
0.007081,0,0.002408,0
0.007604,0.001881,0,0
0.00763,0,0.00179,0
0.004963,0.001284,0.002778,0
0.005544,0,0.002908,0
0.005625,0,0.004008,0
0.005143,0.00262,0.001147,0
0.006652,0.003315,0,0
0.008768,0.001383,0.001429,0
0.008688,0.002288,0,0
0.008721,0,0.002112,0
0.009479,0,0.001068,0
0.010071,0,0.002411,0
0.01014,0,0,0
0.009479,0.001263,0,0
0.010894,0.001238,0,0
0.010905,0,0.001234,0
0.011669,0,0,0
0.012129,0.00119,0,0
0.001367,0.005863,0,0
0.002908,0.005544,0,0
0.001983,0.005348,0,0
0.001513,0.005412,0.001424,0
